Rented Bike Count,Hour,Temperature(°C),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Day,Month
15.968719422671311,0,-5.2,1.1631508098056809,1.0,0.0,0.0,0.0,4,0,1,1,12
14.317821063276353,1,-5.5,0.5877866649021191,1.0,0.0,0.0,0.0,4,0,1,1,12
13.19090595827292,2,-6.0,0.6931471805599453,1.0,0.0,0.0,0.0,4,0,1,1,12
10.392304845413264,3,-6.2,0.6418538861723947,1.0,0.0,0.0,0.0,4,0,1,1,12
8.888194417315589,4,-6.0,1.1939224684724346,1.0,0.0,0.0,0.0,4,0,1,1,12
10.04987562112089,5,-6.4,0.9162907318741551,1.0,0.0,0.0,0.0,4,0,1,1,12
13.490737563232042,6,-6.6,0.8329091229351039,1.0,0.0,0.0,0.0,4,0,1,1,12
21.470910553583888,7,-7.4,0.6418538861723947,1.0,0.0,0.0,0.0,4,0,1,1,12
30.512292604784715,8,-7.6,0.7419373447293773,1.0,0.009950330853168092,0.0,0.0,4,0,1,1,12
22.15851980616034,9,-6.5,0.4054651081081644,8.54400374531753,0.20701416938432612,0.0,0.0,4,0,1,1,12
18.439088914585774,10,-3.5,0.7884573603642703,2.23606797749979,0.5007752879124892,0.0,0.0,4,0,1,1,12
19.0,11,-0.5,0.8329091229351039,8.06225774829855,0.6626879730752367,0.0,0.0,4,0,1,1,12
21.213203435596427,12,1.7,0.8754687373538999,1.0,0.7466879474879753,0.0,0.0,4,0,1,1,12
21.2602916254693,13,2.4,0.9555114450274363,1.0,0.7701082216960737,0.0,0.0,4,0,1,1,12
21.166010488516726,14,3.0,1.0986122886681098,1.0,0.6981347220709843,0.0,0.0,4,0,1,1,12
21.540659228538015,15,2.1,1.4350845252893227,1.0,0.43178241642553783,0.0,0.0,4,0,1,1,12
22.02271554554524,16,1.2,1.6486586255873816,34.75629439396553,0.2151113796169455,0.0,0.0,4,0,1,1,12
